순위,영화명,개봉일,매출액 ,매출액 점유율,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
324 ,최강전사 미니특공대: 영웅의 탄생,2016년 2월 4일 목요일,1414000 ,0.0%,879289200 ,276 ,117446 ,2 ,51 ,한국,한국,(주)삼지애니메이션,(주)삼지애니메이션,전체관람가,애니메이션,이영준,"엄상현,양정화,전태열"
325 ,MSFF2017 절대악몽 1,,1637000 ,0.0%,1637000 ,274 ,274 ,1 ,2 ,한국,한국,,,,"공포(호러),판타지",,
326 ,남사당,1975년 4월 19일 토요일,491000 ,0.0%,491000 ,273 ,273 ,1 ,6 ,한국,한국,(주)동아수출공사,,12세이상관람가,사극,이규환,"최성호,윤미라"
327 ,터널,2016년 8월 10일 수요일,544000 ,0.0%,57530028417 ,272 ,7120780 ,1 ,13 ,한국,한국,"(주)어나더썬데이,(주)비에이엔터테인먼트",(주)쇼박스,12세이상관람가,드라마,김성훈,"하정우,배두나,오달수,김종수,임한빈,정민희,송민석,윤성민,이동진,이상희,최춘범,권승구,진용욱,이한서,예수정,서현우,배유람"
328 ,무영탑,,540000 ,0.0%,2764000 ,270 ,1382 ,1 ,10 ,한국,한국,,,,드라마,김수용,"신영균,김지미,윤연경"
329 ,2017 중앙영화제 보름달,,1340000 ,0.0%,1340000 ,268 ,268 ,1 ,2 ,한국,한국,,,,기타,,
329 ,계춘할망,2016년 5월 19일 목요일,1855000 ,0.0%,3602649348 ,268 ,482784 ,1 ,9 ,한국,한국,"지오엔터테인먼트,(주)퍼플켓츠필름,(주)빅스토리픽쳐스",(주)콘텐츠 난다긴다,15세이상관람가,"가족,드라마",창,"윤여정,김고은,김희원,신은정,최민호,류준열,양익준,박민지,남태부,강경탁,안지혜,이상화,이슬비,이윤혁,신문성,오희준,김영철"
329 ,연평해전,2015년 6월 24일 수요일,1179500 ,0.0%,45567290830 ,268 ,6044956 ,2 ,8 ,한국,한국,(주)로제타시네마,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,드라마,김학순,"김무열,진구,김율호,이현우,이완,이청아,천민희,이한종,박찬희,박혜준,최순조,최승준,최종환,송재호,유형균,박정학,이철민,김강일,김희정"
332 ,집으로...,2002년 4월 4일 목요일,1723000 ,0.0%,1723000 ,265 ,265 ,1 ,2 ,한국,한국,튜브픽쳐스(주),"(주)팝엔터테인먼트,씨제이엔터테인먼트",전체관람가,드라마,이정향,"유승호,김을분,동효희,김두천,안병무,남기준,박현숙,민경훈,박건용,박경오,윤재근,임은경,김순희,이춘희"
332 ,칠수와 만수,1988년 11월 26일 토요일,513000 ,0.0%,809000 ,265 ,321 ,1 ,8 ,한국,한국,(주)동아수출공사,,고등학생이상관람가,드라마,박광수,"안성기,박중훈,배종옥,홍성민,김일우,이승호,김명국"
