순위,영화명,매출액,누적매출액,관객수,누적관객수,스크린수,개별배급사,등급,개별장르,개별감독,개별배우,월,년,개별배급사_index,등급_index,개별장르_index,개별감독_index,개별배우_index,일_index,KNN
10,걸캅스,13807476134.0,13807476134.0,1628963,1628963,973,씨제이이앤엠(주),15세관람가,액션,정다원,라미란,5,2019,0,0,3,9,55,2,988451.9999999999
10,걸캅스,13807476134.0,13807476134.0,1628963,1628963,973,씨제이이앤엠(주),15세관람가,코미디,정다원,이성경,5,2019,0,0,0,9,74,2,1472147.999999999
10,걸캅스,13807476134.0,13807476134.0,1628963,1628963,973,씨제이이앤엠(주),15세관람가,액션,정다원,이성경,5,2019,0,0,3,9,74,2,1472147.999999999
10,걸캅스,13807476134.0,13807476134.0,1628963,1628963,973,씨제이이앤엠(주),15세관람가,코미디,정다원,윤상현,5,2019,0,0,0,9,75,2,1472147.999999999
10,걸캅스,13807476134.0,13807476134.0,1628963,1628963,973,씨제이이앤엠(주),15세관람가,액션,정다원,윤상현,5,2019,0,0,3,9,75,2,1472147.999999999
10,걸캅스,13807476134.0,13807476134.0,1628963,1628963,973,씨제이이앤엠(주),15세관람가,코미디,정다원,최수영,5,2019,0,0,0,9,76,2,1472147.999999999
10,걸캅스,13807476134.0,13807476134.0,1628963,1628963,973,씨제이이앤엠(주),15세관람가,액션,정다원,최수영,5,2019,0,0,3,9,76,2,1472147.999999999
10,걸캅스,13807476134.0,13807476134.0,1628963,1628963,973,씨제이이앤엠(주),15세관람가,코미디,정다원,염혜란,5,2019,0,0,0,9,36,2,1069865.0000000005
10,걸캅스,13807476134.0,13807476134.0,1628963,1628963,973,씨제이이앤엠(주),15세관람가,액션,정다원,염혜란,5,2019,0,0,3,9,36,2,1069865.0000000005
10,걸캅스,13807476134.0,13807476134.0,1628963,1628963,973,씨제이이앤엠(주),15세관람가,코미디,정다원,위하준,5,2019,0,0,0,9,77,2,1472147.999999999
10,걸캅스,13807476134.0,13807476134.0,1628963,1628963,973,씨제이이앤엠(주),15세관람가,액션,정다원,위하준,5,2019,0,0,3,9,77,2,1472147.999999999
10,걸캅스,13807476134.0,13807476134.0,1628963,1628963,973,씨제이이앤엠(주),15세관람가,코미디,정다원,주우재,5,2019,0,0,0,9,78,2,1472147.999999999
10,걸캅스,13807476134.0,13807476134.0,1628963,1628963,973,씨제이이앤엠(주),15세관람가,액션,정다원,주우재,5,2019,0,0,3,9,78,2,1472147.999999999
10,걸캅스,13807476134.0,13807476134.0,1628963,1628963,973,씨제이이앤엠(주),15세관람가,코미디,정다원,강홍석,5,2019,0,0,0,9,79,2,1194229.9999999993
10,걸캅스,13807476134.0,13807476134.0,1628963,1628963,973,씨제이이앤엠(주),15세관람가,액션,정다원,강홍석,5,2019,0,0,3,9,79,2,1472147.999999999
10,걸캅스,13807476134.0,13807476134.0,1628963,1628963,973,씨제이이앤엠(주),15세관람가,코미디,정다원,김도완,5,2019,0,0,0,9,80,2,1194229.9999999993
10,걸캅스,13807476134.0,13807476134.0,1628963,1628963,973,씨제이이앤엠(주),15세관람가,액션,정다원,김도완,5,2019,0,0,3,9,80,2,1194229.9999999993
10,걸캅스,13807476134.0,13807476134.0,1628963,1628963,973,씨제이이앤엠(주),15세관람가,코미디,정다원,이정민,5,2019,0,0,0,9,81,2,1194229.9999999993
10,걸캅스,13807476134.0,13807476134.0,1628963,1628963,973,씨제이이앤엠(주),15세관람가,액션,정다원,이정민,5,2019,0,0,3,9,81,2,1194229.9999999993
10,걸캅스,13807476134.0,13807476134.0,1628963,1628963,973,씨제이이앤엠(주),15세관람가,코미디,정다원,신현숙,5,2019,0,0,0,9,82,2,233211.99999999988
10,걸캅스,13807476134.0,13807476134.0,1628963,1628963,973,씨제이이앤엠(주),15세관람가,액션,정다원,신현숙,5,2019,0,0,3,9,82,2,233211.99999999988
10,걸캅스,13807476134.0,13807476134.0,1628963,1628963,973,씨제이이앤엠(주),15세관람가,코미디,정다원,이레,5,2019,0,0,0,9,43,2,1069865.0000000005
10,걸캅스,13807476134.0,13807476134.0,1628963,1628963,973,씨제이이앤엠(주),15세관람가,액션,정다원,이레,5,2019,0,0,3,9,43,2,1069865.0000000005
10,걸캅스,13807476134.0,13807476134.0,1628963,1628963,973,씨제이이앤엠(주),15세관람가,코미디,정다원,조혜주,5,2019,0,0,0,9,83,2,233211.99999999988
10,걸캅스,13807476134.0,13807476134.0,1628963,1628963,973,씨제이이앤엠(주),15세관람가,액션,정다원,조혜주,5,2019,0,0,3,9,83,2,233211.99999999988
10,걸캅스,13807476134.0,13807476134.0,1628963,1628963,973,씨제이이앤엠(주),15세관람가,코미디,정다원,배유람,5,2019,0,0,0,9,73,2,1472147.999999999
